,ad_id,count,id,title,created_at,image,campaign_id,campaign_title,advertiser_id,advertiser_name,viewed,clicked
0,155546,575865,155546,روش خانگی و فوق العاده برای درمان سریع چاقی؟!,2020-06-08 11:19:20.144312+04:30,https://native.yektanet.com/static/media/upload/items/6__1aTvVbrByI.jpg,50004,دمنوش لاغری6(b=7372),18761,5040.ir,1237777199,1973710
1,279350,552712,279350,کشیدن پوست صورت ،بدون کوچکترین عمل و جراحی,2021-04-08 11:59:48.481999+04:30,https://native.yektanet.com/static/media/upload/items/image__1cc26b6coA.jpeg,101797,چروک 39 (b=8400),18797,5040.ir,297621931,582506
2,286742,518743,286742,درمان لک های تیره روی صورت با این روش گیاهی,2021-04-21 20:56:03.454858+04:30,https://native.yektanet.com/static/media/upload/items/image__1c9nXU8552.jpeg,104966,لک 40 (8667),18762,5040.ir,260985883,544926
3,155869,513687,155869,برای لاغر شدن اگر تصمیم گرفتی کافیه این روش رو تست کنی,2020-06-09 01:20:36.769317+04:30,https://native.yektanet.com/static/media/upload/items/برای_لاغر_شدن_اگر_تصمیم_گرفتی_کافیه_این_روش_رو_تست_کنی__1aTEO9TmyA.jpg,50122,دمنوش لاغری11(b=6672),18761,5040.ir,1812064972,2167290
4,158697,506441,158697,محو خطوط خنده و اخم از چروک به روش طبیعی و خانگی+فیلم,2020-06-19 03:05:20.397201+04:30,https://native.yektanet.com/static/media/upload/items/محو_خطوط_خنده_و_اخم_از_چروک_به_روش_طبیعی_و_خانگیفیلم__1aW81H5thK.jpg,51272,چروک 30 (b=8399),18797,5040.ir,1457459490,2426582
5,254874,499832,254874,در یک ساعت کمردرد خود را خوب کنید! (بدون نیاز به دکتر و دارو),2021-02-20 10:29:57.235165+03:30,https://native.yektanet.com/static/media/upload/items/image__1bUzjsZVAk.jpeg,88697,N-TP,31132,data-sev.com,442639307,670660
6,235643,470240,235643,خرید رزباکس لواشکی ترش و خوشمزه با تخفیف استثنایی!(از دستش نده),2021-01-16 14:06:32.599875+03:30,https://native.yektanet.com/static/media/upload/items/image__1bM1d0kMgy.jpeg,76631,Test-CPI_AutoBidManager-1,4766,basalam.com,221460122,492457
7,279354,425542,279354,قوی ترین روش طبیعی برای رفع چروک صورت در خانه,2021-04-08 12:17:19.623380+04:30,https://native.yektanet.com/static/media/upload/items/image__1c66JWzfZm.jpeg,101804,چروک 41 (b=8401),18797,5040.ir,249205360,447647
8,274766,403572,274766,45 میلیون درآمد ماهانه تضمینی ، همین الان شروع کن,2021-03-27 17:23:42.571756+04:30,https://native.yektanet.com/static/media/upload/items/image__1c3drsTvHq.jpeg,100191,پکیج کسب درآمد همسان عادی,33961,persianfilez.com,192375429,422752
9,184168,341468,184168,رایگان فتوشاپ یاد بگیر.... (فرصت محدود),2020-09-05 12:30:49.205582+04:30,https://native.yektanet.com/static/media/upload/items/450x300__1bfmtqxNam.jpg,49439,Test-CPA_AutoBidManager-1,1550,maktabkhooneh.org,531412371,741164
10,279361,308303,279361,"دمنوش کاهش 8 تا 10 کیلویی وزن,فقط در یک ماه تضمینی",2021-04-08 12:37:48.117359+04:30,https://native.yektanet.com/static/media/upload/items/image__1cbZbUFvCY.jpeg,101808,دمنوش لاغری56 (b8404),18761,5040.ir,210965012,321416
11,279990,301519,279990,آخرین خبرهای سهام عدالت,2021-04-10 16:26:59.945788+04:30,https://native.yektanet.com/static/media/upload/items/image__1c6DNElbzK.jpeg,93337,Native_Publisher_News,31943,bourseon.com,168098329,313724
12,256235,294896,256235,همراه اول استخدام میکند. (ثبت نام کنید),2021-02-21 14:07:08.227373+03:30,https://native.yektanet.com/static/media/upload/items/image__1bUQONOfys.jpeg,84630,native-TP,59,jobvision.ir,252249830,312330
13,158699,288101,158699,"موثرترین روش رفع چروک دور چشم ,بدون بوتاکس",2020-06-19 03:06:13.842178+04:30,https://native.yektanet.com/static/media/upload/items/موثرترین_روش_رفع_چروک_بدون_بوتاکسفیلم__1aW82hfYnO.jpg,51274,چروک 32 (b=6802),18797,5040.ir,458766697,472623
14,261052,279718,261052,در یک ساعت کمردرد خود را خوب کنید! (بدون نیاز به دکتر و دارو),2021-02-28 14:55:29.752266+03:30,https://native.yektanet.com/static/media/upload/items/image__1bUzjsZVAk.jpeg,95296,N-All,31132,data-sev.com,237557169,308229
