,ad_id,labels,labeler_userid,advertiser_id,campaign_id
0,257189,['مسکن'],Milad_Mirzazadeh,32277,93788
1,256689,['گردشگری'],Milad_Mirzazadeh,97,93579
2,207674,['کسب و کار'],Milad_Mirzazadeh,25708,73484
3,305570,"['مردانه', 'زیبایی']",Milad_Mirzazadeh,6101,52670
4,300245,['کنکور'],Milad_Mirzazadeh,19511,109894
5,300354,"['زیبایی', 'سلامت', 'زنانه']",Milad_Mirzazadeh,36382,107857
6,247216,['زیبایی'],Milad_Mirzazadeh,18797,90216
7,300392,['تکنولوژی'],Milad_Mirzazadeh,28415,109961
8,304247,['ارزدیجیتال'],Milad_Mirzazadeh,902,111468
9,307705,['سلامت'],Milad_Mirzazadeh,25801,85474
10,304142,"['تناسب اندام', 'سلامت']",Milad_Mirzazadeh,23636,84981
11,260010,['هیچکدام'],Milad_Mirzazadeh,1172,94826
12,302765,"['سلامت', 'زیبایی']",Milad_Mirzazadeh,12876,100859
13,302844,['کودک'],Milad_Mirzazadeh,35485,109893
14,299328,['زیبایی'],Milad_Mirzazadeh,28415,109495
15,305730,['تکنولوژی'],Milad_Mirzazadeh,37468,112132
16,299698,"['مردانه', 'زیبایی']",Milad_Mirzazadeh,19890,102867
17,303347,['هیچکدام'],Milad_Mirzazadeh,35185,111130
18,305756,['هیچکدام'],Milad_Mirzazadeh,31943,93337
19,215612,['هیچکدام'],Milad_Mirzazadeh,16549,77404
20,306958,['هیچکدام'],Milad_Mirzazadeh,34524,104821
21,294375,['مسکن'],Milad_Mirzazadeh,23224,95182
22,194234,['ارزدیجیتال'],Milad_Mirzazadeh,23947,66951
23,280125,['مواد غذایی'],Milad_Mirzazadeh,28415,101370
24,232213,['تکنولوژی'],Milad_Mirzazadeh,2533,84217
25,305325,"['تکنولوژی', 'پول مفت']",Milad_Mirzazadeh,7554,111963
26,294106,"['تناسب اندام', 'سلامت']",Milad_Mirzazadeh,18761,107732
27,306401,['سلامت'],Milad_Mirzazadeh,9177,112379
28,307737,['ارزدیجیتال'],Milad_Mirzazadeh,2899,72120
29,306744,['کسب و کار'],Milad_Mirzazadeh,118,112468
0,307737,['ارزدیجیتال'],Milad_Mirzazadeh,2899,72120
1,297717,['کودک'],jamesmp77,12452,54805
2,262061,['سلامت'],jamesmp77,25801,73363
